APN CLASSIFICATION REPORT
Source: E:\apn-gb-search\results\merged\apn_all.json
Functions: 566
Buckets: 1

BUCKET 9c5115a629cf6591 (566 functions)
  APN-0001: tag=c22a_0001 sol=1/1 deg=2 DU=2
  APN-0002: tag=c22a_0002 sol=1/1 deg=2 DU=2
  APN-0003: tag=c22a_0003 sol=1/2 deg=2 DU=2
  APN-0004: tag=c22a_0003 sol=2/2 deg=2 DU=2
  APN-0005: tag=c22a_0004 sol=1/1 deg=2 DU=2
  APN-0006: tag=c22a_0005 sol=1/1 deg=2 DU=2
  APN-0007: tag=c22a_0006 sol=1/1 deg=2 DU=2
  APN-0008: tag=c22a_0007 sol=1/4 deg=2 DU=2
  APN-0009: tag=c22a_0007 sol=2/4 deg=2 DU=2
  APN-0010: tag=c22a_0007 sol=3/4 deg=2 DU=2
  APN-0011: tag=c22a_0007 sol=4/4 deg=2 DU=2
  APN-0012: tag=c22a_0008 sol=1/1 deg=2 DU=2
  APN-0013: tag=c22a_0009 sol=1/1 deg=2 DU=2
  APN-0014: tag=c22a_0010 sol=1/4 deg=2 DU=2
  APN-0015: tag=c22a_0010 sol=2/4 deg=2 DU=2
  APN-0016: tag=c22a_0010 sol=3/4 deg=2 DU=2
  APN-0017: tag=c22a_0010 sol=4/4 deg=2 DU=2
  APN-0018: tag=c22a_0011 sol=1/4 deg=2 DU=2
  APN-0019: tag=c22a_0011 sol=2/4 deg=2 DU=2
  APN-0020: tag=c22a_0011 sol=3/4 deg=2 DU=2
  APN-0021: tag=c22a_0011 sol=4/4 deg=2 DU=2
  APN-0022: tag=c22a_0012 sol=1/1 deg=2 DU=2
  APN-0023: tag=c22a_0013 sol=1/1 deg=2 DU=2
  APN-0024: tag=c22a_0014 sol=1/1 deg=2 DU=2
  APN-0025: tag=c22a_0015 sol=1/1 deg=2 DU=2
  APN-0026: tag=c22a_0016 sol=1/1 deg=2 DU=2
  APN-0027: tag=c22a_0017 sol=1/1 deg=2 DU=2
  APN-0028: tag=c22a_0018 sol=1/1 deg=2 DU=2
  APN-0029: tag=c22a_0019 sol=1/1 deg=2 DU=2
  APN-0030: tag=c22a_0020 sol=1/4 deg=2 DU=2
  APN-0031: tag=c22a_0020 sol=2/4 deg=2 DU=2
  APN-0032: tag=c22a_0020 sol=3/4 deg=2 DU=2
  APN-0033: tag=c22a_0020 sol=4/4 deg=2 DU=2
  APN-0034: tag=c22a_0021 sol=1/1 deg=2 DU=2
  APN-0035: tag=c22a_0022 sol=1/2 deg=2 DU=2
  APN-0036: tag=c22a_0022 sol=2/2 deg=2 DU=2
  APN-0037: tag=c22a_0023 sol=1/4 deg=2 DU=2
  APN-0038: tag=c22a_0023 sol=2/4 deg=2 DU=2
  APN-0039: tag=c22a_0023 sol=3/4 deg=2 DU=2
  APN-0040: tag=c22a_0023 sol=4/4 deg=2 DU=2
  APN-0041: tag=c22a_0024 sol=1/1 deg=2 DU=2
  APN-0042: tag=c22a_0025 sol=1/1 deg=2 DU=2
  APN-0043: tag=c22a_0026 sol=1/1 deg=2 DU=2
  APN-0044: tag=c22a_0027 sol=1/1 deg=2 DU=2
  APN-0045: tag=c22a_0028 sol=1/1 deg=2 DU=2
  APN-0046: tag=c22a_0029 sol=1/1 deg=2 DU=2
  APN-0047: tag=c22a_0030 sol=1/1 deg=2 DU=2
  APN-0048: tag=c22a_0031 sol=1/1 deg=2 DU=2
  APN-0049: tag=c22a_0032 sol=1/1 deg=2 DU=2
  APN-0050: tag=c22a_0033 sol=1/1 deg=2 DU=2
  APN-0051: tag=c22a_0034 sol=1/1 deg=2 DU=2
  APN-0052: tag=c22a_0035 sol=1/1 deg=2 DU=2
  APN-0053: tag=c22a_0036 sol=1/1 deg=2 DU=2
  APN-0054: tag=c22a_0037 sol=1/1 deg=2 DU=2
  APN-0055: tag=c22a_0038 sol=1/4 deg=2 DU=2
  APN-0056: tag=c22a_0038 sol=2/4 deg=2 DU=2
  APN-0057: tag=c22a_0038 sol=3/4 deg=2 DU=2
  APN-0058: tag=c22a_0038 sol=4/4 deg=2 DU=2
  APN-0059: tag=c22a_0039 sol=1/1 deg=2 DU=2
  APN-0060: tag=c22a_0040 sol=1/1 deg=2 DU=2
  APN-0061: tag=c22a_0041 sol=1/1 deg=2 DU=2
  APN-0062: tag=c22a_0042 sol=1/1 deg=2 DU=2
  APN-0063: tag=c22a_0043 sol=1/1 deg=2 DU=2
  APN-0064: tag=c22a_0044 sol=1/1 deg=2 DU=2
  APN-0065: tag=c22a_0045 sol=1/1 deg=2 DU=2
  APN-0066: tag=c22a_0046 sol=1/1 deg=2 DU=2
  APN-0067: tag=c22a_0047 sol=1/1 deg=2 DU=2
  APN-0068: tag=c22a_0048 sol=1/1 deg=2 DU=2
  APN-0069: tag=c22a_0049 sol=1/1 deg=2 DU=2
  APN-0070: tag=c22a_0050 sol=1/1 deg=2 DU=2
  APN-0071: tag=c22a_0051 sol=1/1 deg=2 DU=2
  APN-0072: tag=c22a_0052 sol=1/1 deg=2 DU=2
  APN-0073: tag=c22a_0053 sol=1/1 deg=2 DU=2
  APN-0074: tag=c22a_0054 sol=1/1 deg=2 DU=2
  APN-0075: tag=c22a_0055 sol=1/1 deg=2 DU=2
  APN-0076: tag=c22a_0056 sol=1/1 deg=2 DU=2
  APN-0077: tag=c22a_0057 sol=1/1 deg=2 DU=2
  APN-0078: tag=c22a_0058 sol=1/4 deg=2 DU=2
  APN-0079: tag=c22a_0058 sol=2/4 deg=2 DU=2
  APN-0080: tag=c22a_0058 sol=3/4 deg=2 DU=2
  APN-0081: tag=c22a_0058 sol=4/4 deg=2 DU=2
  APN-0082: tag=c22a_0059 sol=1/1 deg=2 DU=2
  APN-0083: tag=c22a_0060 sol=1/1 deg=2 DU=2
  APN-0084: tag=c22a_0061 sol=1/1 deg=2 DU=2
  APN-0085: tag=c22a_0062 sol=1/1 deg=2 DU=2
  APN-0086: tag=c22a_0063 sol=1/1 deg=2 DU=2
  APN-0087: tag=c22a_0064 sol=1/1 deg=2 DU=2
  APN-0088: tag=c22a_0065 sol=1/1 deg=2 DU=2
  APN-0089: tag=c22a_0066 sol=1/1 deg=2 DU=2
  APN-0090: tag=c22a_0067 sol=1/2 deg=2 DU=2
  APN-0091: tag=c22a_0067 sol=2/2 deg=2 DU=2
  APN-0092: tag=c22a_0068 sol=1/1 deg=2 DU=2
  APN-0093: tag=c22a_0069 sol=1/4 deg=2 DU=2
  APN-0094: tag=c22a_0069 sol=2/4 deg=2 DU=2
  APN-0095: tag=c22a_0069 sol=3/4 deg=2 DU=2
  APN-0096: tag=c22a_0069 sol=4/4 deg=2 DU=2
  APN-0097: tag=c22a_0070 sol=1/4 deg=2 DU=2
  APN-0098: tag=c22a_0070 sol=2/4 deg=2 DU=2
  APN-0099: tag=c22a_0070 sol=3/4 deg=2 DU=2
  APN-0100: tag=c22a_0070 sol=4/4 deg=2 DU=2
  APN-0101: tag=c22a_0071 sol=1/1 deg=2 DU=2
  APN-0102: tag=c22a_0072 sol=1/2 deg=2 DU=2
  APN-0103: tag=c22a_0072 sol=2/2 deg=2 DU=2
  APN-0104: tag=c22a_0073 sol=1/1 deg=2 DU=2
  APN-0105: tag=c22a_0074 sol=1/1 deg=2 DU=2
  APN-0106: tag=c22a_0075 sol=1/1 deg=2 DU=2
  APN-0107: tag=c22a_0076 sol=1/1 deg=2 DU=2
  APN-0108: tag=c22a_0077 sol=1/1 deg=2 DU=2
  APN-0109: tag=c22a_0078 sol=1/1 deg=2 DU=2
  APN-0110: tag=c22a_0079 sol=1/4 deg=2 DU=2
  APN-0111: tag=c22a_0079 sol=2/4 deg=2 DU=2
  APN-0112: tag=c22a_0079 sol=3/4 deg=2 DU=2
  APN-0113: tag=c22a_0079 sol=4/4 deg=2 DU=2
  APN-0114: tag=c22a_0080 sol=1/2 deg=2 DU=2
  APN-0115: tag=c22a_0080 sol=2/2 deg=2 DU=2
  APN-0116: tag=c22a_0081 sol=1/2 deg=2 DU=2
  APN-0117: tag=c22a_0081 sol=2/2 deg=2 DU=2
